Date & Time,Company Name,Percent Change
11:12 AM 02.06.2022,Colgate-Palmolive,0.04%
11:12 AM 02.06.2022,Comcast,-0.97%
11:12 AM 02.06.2022,Comerica,1.13%
11:12 AM 02.06.2022,ConAgra Foods,-2.52%
11:12 AM 02.06.2022,ConocoPhillips,-0.54%
11:12 AM 02.06.2022,Consolidated Edison,-1.15%
11:12 AM 02.06.2022,Constellation Brand a,-0.94%
11:12 AM 02.06.2022,Cooper Cos,0.61%
11:12 AM 02.06.2022,Copart,2.71%
11:12 AM 02.06.2022,Corning,0.96%
11:12 AM 02.06.2022,Corteva,0.34%
11:12 AM 02.06.2022,Costco Wholesale,2.36%
11:12 AM 02.06.2022,Crown Castle,-2.34%
11:12 AM 02.06.2022,CSX,0.52%
11:12 AM 02.06.2022,Cummins,1.01%
11:12 AM 02.06.2022,CVS Health,-0.63%
11:12 AM 02.06.2022,D.R. Horton,0.47%
11:12 AM 02.06.2022,Danaher,2.52%
11:12 AM 02.06.2022,Darden Restaurants,1.35%
11:12 AM 02.06.2022,DaVita HealthCare Partners,-0.01%
11:12 AM 02.06.2022,Deere,1.40%
11:12 AM 02.06.2022,Delta Air Lines,0.05%
11:12 AM 02.06.2022,DENTSPLY SIRONA,5.56%
11:12 AM 02.06.2022,Devon Energy,0.17%
11:12 AM 02.06.2022,DexCom,5.13%
11:12 AM 02.06.2022,Diamondback Energy,0.65%
11:12 AM 02.06.2022,Digital Realty Trust,-0.53%
11:11 AM 02.06.2022,Discover Financial Services,0.81%
11:12 AM 02.06.2022,Dish Network,-0.73%
11:12 AM 02.06.2022,Dollar General Corporation,0.91%
11:12 AM 02.06.2022,Dollar Tree,-1.06%
11:12 AM 02.06.2022,Dominion Energy,-1.57%
11:12 AM 02.06.2022,Domino's Pizza,2.21%
11:12 AM 02.06.2022,Dover,0.59%
11:12 AM 02.06.2022,Dow,-1.00%
11:12 AM 02.06.2022,DTE Energy,-0.78%
11:12 AM 02.06.2022,Duke Energy,-0.65%
